"product";"rep";"subject";"descriptor";"start";"score";"duration";"stop";"sequenceStart";"sequenceStop";"sequenceDuration";"stdStart";"stdDuration";"stdStop"
"C4";"1";"A64";"Bland";8;1;6.019;14;3.735;27.055;23.32;0.3;0.22;0.52
"C4";"1";"A64";"Bland";17;1;4.621;21;3.735;27.055;23.32;0.63;0.17;0.8
"C4";"1";"A64";"Sticky_Pasty";21;1;1.944;23;3.735;27.055;23.32;0.78;0.07;0.85
"C4";"1";"A64";"Bland";23;1;3.917;27;3.735;27.055;23.32;0.85;0.14;0.99
"C4";"1";"A65";"Crispy";2;1;4.237;6;1.837;22.342;20.505;0.09;0.19;0.28
"C4";"1";"A65";"Bland";6;1;2.025;8;1.837;22.342;20.505;0.27;0.09;0.36
"C4";"1";"A65";"Crispy";8;1;1.134;9;1.837;22.342;20.505;0.36;0.05;0.41
"C4";"1";"A65";"Bland";9;1;2.057;11;1.837;22.342;20.505;0.4;0.09;0.49
"C4";"1";"A65";"Crispy";11;1;0.795000000000002;12;1.837;22.342;20.505;0.49;0.04;0.53
"C4";"1";"A65";"Bland";12;1;10.257;22;1.837;22.342;20.505;0.54;0.46;1
"C4";"1";"A66";"Crispy";9;1;7.05;16;8.708;72.546;63.838;0.12;0.1;0.22
"C4";"1";"A66";"Melting";16;1;5.16;21;8.708;72.546;63.838;0.22;0.07;0.29
"C4";"1";"A66";"Potato";21;1;35.569;56;8.708;72.546;63.838;0.29;0.49;0.78
"C4";"1";"A66";"Roasted";56;1;16.059;73;8.708;72.546;63.838;0.77;0.22;0.99
"C4";"1";"A67";"Crispy";2;1;2.39;4;1.682;20.934;19.252;0.1;0.11;0.21
"C4";"1";"A67";"Bland";4;1;14.209;18;1.682;20.934;19.252;0.19;0.68;0.87
"C4";"1";"A67";"Fat";18;1;2.653;21;1.682;20.934;19.252;0.86;0.13;0.99
"C4";"1";"A70";"Roasted";14;1;3.6;18;7.703;41.944;34.241;0.33;0.09;0.42
"C4";"1";"A70";"Bland";18;1;14.16;32;7.703;41.944;34.241;0.43;0.34;0.77
"C4";"1";"A70";"Fat";32;1;9.89700000000001;42;7.703;41.944;34.241;0.76;0.24;1
"C4";"1";"A70";"Crispy";8;1;6.584;14;7.703;41.944;34.241;0.19;0.16;0.35
"C4";"1";"A78";"Bland";16;1;8.592;24;3.266;24.234;20.968;0.66;0.35;1.01
"C4";"1";"A78";"Sticky_Pasty";11;1;4.727;16;3.266;24.234;20.968;0.45;0.2;0.65
"C4";"1";"A78";"Crispy";3;1;1.219;4;3.266;24.234;20.968;0.12;0.05;0.17
"C4";"1";"A78";"Bland";4;1;6.43;11;3.266;24.234;20.968;0.17;0.27;0.44
"C4";"1";"A80";"Bland";16;1;12.857;29;6.748;28.645;21.897;0.56;0.45;1.01
"C4";"1";"A80";"Crispy";7;1;9.04;16;6.748;28.645;21.897;0.24;0.32;0.56
