file;prod;suj;rep;resp;miseEnBouche_s;finTimeSens_s;finPTR_s;product;subject
CSCA113_S015_2.txt;NA;S015;1;m69.06906..69.06906...Conc.;42.31091601;83.328;145.1122036;A;S015
CSCA113_S015_3.txt;NA;S015;1;m69.06906..69.06906...Conc.;37.75896983;89.665;153.7129245;C;S015
CSCA113_S015_4.txt;NA;S015;1;m69.06906..69.06906...Conc.;43.11779166;87.746;155.2130485;B;S015
CSCA113_S015_5.txt;NA;S015;2;m69.06906..69.06906...Conc.;44.26073384;65.924;132.4611342;B;S015
CSCA113_S015_6.txt;NA;S015;2;m69.06906..69.06906...Conc.;38.48397074;101.592;161.3135582;C;S015
CSCA113_S015_7.txt;NA;S015;2;m69.06906..69.06906...Conc.;38.85540115;79.841;134.0612662;A;S015
CSCA114_S016_2.txt;NA;S016;1;m69.06906..69.06906...Conc.;34.89269835;103.505;162.6636641;C;S016
CSCA114_S016_3.txt;NA;S016;1;m69.06906..69.06906...Conc.;37.78897404;93.619;149.2625353;A;S016
CSCA114_S016_4.txt;NA;S016;1;m69.06906..69.06906...Conc.;30.2253499;93.587;189.2658913;B;S016
CSCA114_S016_5.txt;NA;S016;2;m69.06906..69.06906...Conc.;0.377453836;92.278;151.062681;B;S016
CSCA114_S016_6.txt;NA;S016;2;m69.06906..69.06906...Conc.;38.1834369;99.212;155.4630492;A;S016
CSCA114_S016_7.txt;NA;S016;2;m69.06906..69.06906...Conc.;34.18933512;106.922;155.9130857;C;S016
CSCA116_S012_2.txt;NA;S012;1;m69.06906..69.06906...Conc.;0.768137105;59.371;105.1088338;B;S012
CSCA116_S012_3.txt;NA;S012;1;m69.06906..69.06906...Conc.;0.735634249;61.234;114.8596516;A;S012
CSCA116_S012_4.txt;NA;S012;1;m69.06906..69.06906...Conc.;12.2697937;65.466;118.1099234;C;S012
CSCA116_S012_5.txt;NA;S012;2;m69.06906..69.06906...Conc.;39.12767112;58.635;107.2090068;B;S012
CSCA116_S012_6.txt;NA;S012;2;m69.06906..69.06906...Conc.;34.90307358;65.849;118.9099887;C;S012
CSCA116_S012_7.txt;NA;S012;2;m69.06906..69.06906...Conc.;37.97014974;60.89;107.7590511;A;S012
CSCA116_S014_2.txt;NA;S014;1;m69.06906..69.06906...Conc.;40.02599132;78.576;131.761081;C;S014
CSCA116_S014_3.txt;NA;S014;1;m69.06906..69.06906...Conc.;18.26733231;73.089;119.0600102;B;S014
CSCA116_S014_4.txt;NA;S014;1;m69.06906..69.06906...Conc.;38.32273212;66.25;111.6093817;A;S014
CSCA116_S014_5.txt;NA;S014;2;m69.06906..69.06906...Conc.;34.03896535;73.573;123.0103384;A;S014
CSCA116_S014_6_.txt;NA;S014;2;m69.06906..69.06906...Conc.;36.3782439;81.249;124.8604925;B;S014
CSCA116_S014_7.txt;NA;S014;2;m69.06906..69.06906...Conc.;40.76164023;92.589;137.3115375;C;S014
